cell;lon;lat
119;24.599078;59.408711
120;24.612358;59.425285
121;24.642395;59.404951
122;24.652219;59.422546
123;24.671209;59.420932
124;24.665113;59.42372
125;24.663358;59.41926
126;24.618299;59.420938
127;24.70452;59.425745
128;24.708135;59.427188
129;24.728669;59.440019
130;24.726533;59.43934
131;24.729816;59.438136
132;24.715925;59.442932
133;24.718999;59.433886
134;24.721907;59.436265
135;24.710431;59.427142
136;24.690177;59.410323
137;24.692341;59.408456
138;24.681745;59.402416
139;24.686947;59.401693
140;24.690819;59.403728
141;24.678567;59.405683
142;24.691114;59.410598
143;24.685354;59.405601
144;24.702482;59.42395
145;24.70254;59.423873
146;24.702218;59.424713
147;24.698213;59.415513
148;24.682692;59.40481
149;24.677781;59.393717
150;24.684838;59.401555
151;24.679383;59.425129
152;24.687033;59.418402
153;24.673228;59.420139
154;24.690463;59.423472
155;24.67284;59.419853
156;24.66119;59.418584
157;24.666013;59.419542
158;24.682052;59.403202
159;24.692017;59.414251
160;24.712671;59.402566
161;24.672485;59.399734
162;24.673535;59.400111
163;24.646103;59.387027
164;24.660364;59.393717
165;24.622481;59.354403
166;24.631571;59.359361
167;24.629629;59.32872
168;24.631841;59.324775
169;24.606778;59.333728
170;24.679756;59.389344
171;24.67838;59.384625
172;24.639164;59.375073
173;24.702825;59.422533
174;24.720793;59.422116
175;24.688046;59.417641
176;24.692834;59.420575
177;24.669632;59.411027
178;24.748764;59.432602
179;24.744837;59.431642
180;24.748844;59.42913
181;24.754945;59.42917
182;24.758226;59.431535
183;24.754552;59.432406
184;24.774918;59.41454
185;24.782662;59.413995
186;24.781962;59.427289
187;24.804041;59.41578
188;24.811935424805;59.403762817383
189;24.796714;59.413198
190;24.79326;59.415628
191;24.789911;59.418183
192;24.791656;59.412479
193;24.796596;59.413996
194;24.79555;59.414768
195;24.773477;59.414896
196;24.783472;59.417735
197;24.781853;59.415385
198;24.782228;59.418694
199;24.74327;59.422762
200;24.748219;59.424168
201;24.744029;59.424671
202;24.76799;59.427005
203;24.741696;59.427308
204;24.719108;59.423677
205;24.723736;59.423652
206;24.724488;59.422547
207;24.721337;59.409996
208;24.720796;59.408979
209;24.706603;59.407228
210;24.672053;59.410532
211;24.677664;59.41319
212;24.708151;59.429006
213;24.701597;59.41521
214;24.692992;59.413877
215;24.695375;59.415826
216;24.686318;59.397786
217;24.692364;59.416628
218;24.67979;59.420092
219;24.666237;59.422368
220;24.69459;59.415666
221;24.671862;59.400832
222;24.675974;59.38678
223;24.699537;59.377672
224;24.682715;59.385663
225;24.724038;59.391062
226;24.695405;59.376886
227;24.676222;59.383166
228;24.719845;59.421642
229;24.696839;59.400375
230;24.742847;59.409484
231;24.725612;59.406101
232;24.735926;59.406362
233;24.786074;59.414564
234;24.789285;59.415417
235;24.788364;59.413582
236;24.763896;59.423065
237;24.794346;59.415979
238;24.79786;59.41308
239;24.793256;59.41576
240;24.792917;59.420949
241;24.81846;59.428924
242;24.840465;59.43194
243;24.839624;59.431708
244;24.8422;59.432673
245;24.831189;59.431386
246;24.886365;59.438783
247;24.874073;59.436553
248;24.848605;59.433428
249;24.847435;59.432609
250;25.004383;59.447213
251;25.002013;59.444541
252;24.937944;59.441171
253;24.92697;59.440435
254;25.019577;59.448562
255;25.090259;59.446568
256;25.137322;59.468319
257;25.119774;59.470484
258;25.056156;59.443988
259;25.116056;59.456701
260;25.073824;59.426544
261;25.150604;59.472614
262;25.137176;59.4698
263;25.151583;59.474795
264;25.168515;59.465719
265;25.189313;59.489785
266;25.169095;59.50046
267;25.16634;59.455646
268;25.164998;59.504254
269;25.287264;59.495193
270;25.182497;59.510036
271;25.16417;59.517108
272;25.159969;59.521317
273;25.167887;59.515896
274;25.159632;59.516406
275;25.159676;59.51586
276;25.068199;59.447595
277;24.971801;59.433902
278;24.981746;59.445786
279;24.913614;59.438993
280;24.936097;59.441384
281;24.895608;59.435629
282;24.901117;59.435097
283;24.839937;59.430802
284;24.845017;59.432202
285;24.786522;59.422699
286;24.759295;59.43178
287;24.755536;59.433409
288;24.770843;59.428975
289;24.766298;59.428289
290;24.763207;59.432782
291;24.769602;59.427341
292;24.746183;59.440458
293;24.759788;59.442724
294;24.764058;59.43847
295;24.751088;59.441688
296;24.766918;59.443461
297;24.732904;59.434892
298;24.732741;59.434854
299;24.739641;59.437474
300;24.72945;59.434963
301;24.658731;59.394566
302;24.684355;59.38708
303;24.716184;59.400418
304;24.70172;59.394496
305;24.710643;59.394818
306;24.742173;59.439194
307;24.732495;59.435032
308;24.757919;59.428254
